"Word", "Tag", "Score"
'hood,n,0
's_Gravenhage,n,0
'tween,r,0
'tween_decks,r,0
.22,n,0
.22-caliber,a,0
.22-calibre,a,0
.22_caliber,a,0
.22_calibre,a,0
.38-caliber,a,0
.38-calibre,a,0
.38_caliber,a,0
.38_calibre,a,0
.45-caliber,a,0
.45-calibre,a,0
.45_caliber,a,0
.45_calibre,a,0
0,a,0
0,n,0
1,a,0
1,n,-0.31712
1-dodecanol,n,0
1-hitter,n,0
10,a,0
10,n,0
10-membered,a,0
100,a,0
100,n,0
1000,a,0
1000,n,0
10000,n,-0.31712
100000,n,0
1000000,n,0
1000000000,n,0
1000000000000,n,0
1000th,a,0
100th,a,0
101,a,0
101st,a,0
105,a,0
105th,a,0
10th,a,0
11,a,0
11,n,0
11-plus,n,0
110,a,0
110th,a,0
115,a,0
115th,a,0
11_November,n,0
11th,a,0
12,a,0
12,n,0
12-tone_music,n,0
12-tone_system,n,0
120,a,0
120,n,0
120th,a,0
125,a,0
125th,a,0
12th,a,0
13,a,0
13,n,0
130,a,0
130th,a,0
135,a,0
135th,a,0
13th,a,0
14,a,0
14,n,0
140,a,0
140th,a,0
144,n,0
145,a,0
145th,a,0
14_July,n,0
14th,a,0
15,a,0
15,n,0
150,a,0
150th,a,0
1530s,n,0
155,a,0
155th,a,0
15_August_1945,n,0
15_May_Organization,n,0
15_minutes,n,0
15th,a,0
16,a,0
16,n,0
160,a,0
160th,a,0
165,a,0
165th,a,0
16_PF,n,0
16th,a,0
17,a,0
17,n,0
170,a,0
170th,a,0
1728,n,0
175,a,0
1750s,n,0
175th,a,0
1760s,n,0
1770s,n,0
1780s,n,0
1790s,n,0
17_November,n,0
17th,a,0
18,a,0
18,n,0
18-karat_gold,n,0
180,a,0
180th,a,0
1820s,n,0
1830s,n,0
1840s,n,0
1850s,n,0
1860s,n,0
1870s,n,0
1880s,n,0
1890s,n,0
18th,a,0
19,a,0
19,n,0
190,a,0
1900s,n,0
190th,a,0
1920s,n,0
1930s,n,0
1940s,n,0
1950s,n,0
1960s,n,0
1970s,n,0
1980s,n,0
1990s,n,0
19th,a,0
1_Chronicles,n,0
1_Esdras,n,0
1_Kings,n,0
1_Maccabees,n,0
1_Samuel,n,0
1st,a,0
1st-class_mail,n,0
1st_Baron_Beaverbrook,n,0
1st_Baron_Verulam,n,0
1st_Earl_Attlee,n,0
1st_Earl_Baldwin_of_Bewdley,n,0
1st_Earl_of_Balfour,n,0
1st_Viscount_Montgomery_of_Alamein,n,0
1st_class,n,0
1st_lieutenant,n,0
2,a,0
2,n,0
2-dimensional,a,0
2-hitter,n,0
2-hydroxybenzoic_acid,n,0
2-methylpropenoic_acid,n,0
20,a,0
20,n,0
20/20,n,0
200,a,0
200th,a,0
20th,a,0
21,a,0
21,n,0
21st,a,0
22,a,0
22,n,0
22-karat_gold,n,0
22nd,a,0
23,a,0
23,n,0
23rd,a,0
24,a,0
24,n,0
24-hour_interval,n,0
24-karat_gold,n,0
24/7,n,0
24th,a,0
25,a,0
25,n,0
25th,a,0
26,a,0
26,n,0
26th,a,0
27,a,0
27,n,0
27th,a,0
28,a,0
28,n,0
28th,a,0
29,a,0
29,n,0
29th,a,0
2_Chronicles,n,0
2_Esdras,n,0
2_Kings,n,0
2_Maccabees,n,0
2_Samuel,n,0
2d,a,0
2nd,a,0
2nd_lieutenant,n,0
3,a,0
3,n,0
3-D,n,0
3-dimensional,a,0
3-hitter,n,0
3-membered,a,0
30,a,0
30,n,0
300,a,0
300th,a,0
30_minutes,n,0
30th,a,0
31,a,0
31st,a,0
32,a,0
32nd,a,0
33,a,0
33rd,a,0
34,a,0
34th,a,0
35,a,0
35th,a,0
36,a,0
365_days,n,0
366_days,n,0
36th,a,0
37,a,0
37th,a,0
38,a,0
38th,a,0
39,a,0
39th,a,0
3D,n,0
3TC,n,0
3d_radar,n,0
3rd,a,0
3rd_October_Organization,n,0
4,a,0
4,n,0
4-dimensional,a,0
4-hitter,n,0
4-membered,a,0
40,a,0
40,n,0
400,a,0
400th,a,0
401-k,n,0
401-k_plan,n,0
40th,a,0
41,a,0
41st,a,0
42,a,0
42nd,a,0
43,a,0
43rd,a,0
44,a,0
440_yards,n,0
44th,a,0
45,a,0
45th,a,0
46,a,0
46th,a,0
47,a,0
47th,a,0
48,a,0
48th,a,0
49,a,0
49th,a,0
4WD,n,0
4th,a,0
4to,n,0
5,a,0
5,n,0
5-hitter,n,0
5-hydroxy-3-methylglutaryl-coenzyme_A_reductase,n,0
5-hydroxytryptamine,n,0
5-membered,a,0
50,a,0
50,n,0
500,a,0
500,n,0
500th,a,0
50th,a,0
51,a,0
52,a,0
53,a,0
54,a,0
55,a,0
55th,a,0
56,a,0
57,a,0
58,a,0
59,a,0
5th,a,0
6,a,0
6,n,0
6-membered,a,0
60,a,0
60,n,0
60_minutes,n,0
60th,a,0
61,a,0
62,a,0
63,a,0
64,a,0
64th,a,0
65,a,0
65th,a,0
66,a,0
67,a,0
68,a,0
69,a,0
6_June_1944,n,0
6th,a,0
7,a,0
7,n,0
7-membered,a,0
70,a,0
70,n,0
70th,a,0
71,a,0
72,a,0
73,a,0
74,a,0
75,a,0
75th,a,0
76,a,0
77,a,0
78,a,0
78,n,0
79,a,0
7th,a,0
8,a,0
8,n,0
8-membered,a,0
80,a,0
80,n,0
80th,a,0
81,a,0
82,a,0
83,a,0
84,a,0
85,a,0
85th,a,0
86,a,0
87,a,0
88,a,0
880_yards,n,0
89,a,0
8_May_1945,n,0
8th,a,0
8vo,n,0
9,a,0
9,n,0
9-11,n,0
9-membered,a,0
9/11,n,0
90,a,0
90,n,0
90th,a,0
91,a,0
92,a,0
93,a,0
94,a,0
95,a,0
95th,a,0
96,a,0
97,a,0
98,a,0
99,a,0
9th,a,0
A,n,0
A'man,n,0
A-bomb,n,0
A-horizon,n,0
A-line,n,0
A-list,n,0
A-one,a,0
A-scan_ultrasonography,n,0
A-team,n,0
A.D.,r,0
A.E.,n,0
A.M.,r,0
A._A._Michelson,n,0
A._A._Milne,n,0
A._Conan_Doyle,n,0
A._E._Burnside,n,0
A._E._Housman,n,0
A._E._Kennelly,n,0
A._E._W._Mason,n,0
A._Noam_Chomsky,n,0
A._testudineus,n,0
AA,n,0
AAA,n,0
AARP,n,0
AAS,n,0
AAVE,n,0
AB,n,0
ABA_transit_number,n,0
ABB,n,0
ABC,n,0
ABC's,n,0
ABCs,n,0
ABLS,n,0
ABM,n,0
ABO_antibodies,n,0
ABO_blood_group_system,n,0
ABO_group,n,0
ABO_system,n,0
ABS,n,0
AC,n,0
ACC,n,0
ACE,n,-0.95136
ACE_inhibitor,n,0
ACLANT,n,0
