Label	Text
spam	 #Win $25 PayPal Cash from @247contests to celebrate Mardi Gras!  http://t.co/18MliRf1eA
spam	 #Win $25 PayPal Cash from @247contests to celebrate Mardi Gras!  http://t.co/A6VrIsUbI8
spam	 #Win $25 PayPal Cash from @247contests to celebrate Mardi Gras!  http://t.co/I9KLVqHLo9
spam	 #Win $25 PayPal Cash from @247contests to celebrate Mardi Gras!  http://t.co/PCNuSlclJW
spam	 #Win $25 PayPal Cash from @247contests to celebrate Mardi Gras!  http://t.co/sTCkXegNV9
spam	 #Win $25 PayPal Cash from @247contests to celebrate Mardi Gras!  http://t.co/WtphgVywnX
spam	 #Win $25 PayPal Cash from @247contests to celebrate Mardi Gras!  http://t.co/yQwP2YcDoS
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/9eHs4QmFE0
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/FThZGKjBR3
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/GCSmgKfp5m
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/L6bkZGHA2U
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/nzy9zl5k3a
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/Uq36YsuVXj
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/VAL8CRDfaW
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/VcQwSsY5a3
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/wFOeoSYOTL
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! @PostcardsRachel #giveaway http://t.co/ZR6dghYkd9
spam	 #Win a #Clarisonic Mia 2 or $160 in Paypal #cash. Winner's choice! Happy Valentine's Day! PostcardsRachel #giveaway http://t.co/e4g3XhzyTu
not relevant	 $14 shipped to the lower 48. Paypal only. Thanks Dan Castle link programmer w/USB cable
not relevant	 $14 shipped to the lower 48. Paypal only. Thanks Dan NA Castle link programmer w/USB cable
spam	" ....filling out credit applications lol ..especially when you click submit /.... dont you?? TFCU - $2,500 II Amex BCE - $1,400 II Wells Fargo Cash Back College Card - $1,500 II Paypal Extras Mastercard - $2,000 II American Eagle VISA - $2000 II Best Buy Mastercard - $300 II Kay Jewelers - $2,800 oh how i love..."
Negative	" @ nonorthodox , Do you have any more pictures of chat? If yes, please upload all of them. Also, please provide: a) pictures of your inventory history showing it in the Steam client. Please include all history from the day of scam. b) pictures of your PayPal showing all acitivty (Log in to PayPal, then choose View all of my transactions). Please do NOT crop pictures. Ten Immutable Laws Of Security Need More Info 76561198042055202 - (Krispen Wah/drguytodd/Lord Doge / [TF2] Team Fortress 2"
Positive	" @AaronYeoman doing it tonight mate, just been so busy with the day job ;-) ill email out the Dropbox link and PayPal mail address for paying"
Negative	 @ACGAlvaris hahaha paypal and http://t.co/dQ8sVYCoiy are the only places where i'm really uptight about the numbers XD
Negative	 @AskPayPal follow back I need help with my paypal
Negative	 @AskPayPal please check my dm and try to solve my problem
Negative	 @ayejaycee paypal are honestly shit to deal with when it comes to someone stealing your money
Negative	" @BestBuy The pay with paypal checkout option is not working on your website, it loads a blank white page instead of taking you to paypal."
Negative	" @BigFoltz i need your help with a pre paid card on paypal, please dm me."
Negative	" @bodytechfitmama @BalmainBeauty it's  horrible, I had it happen to me in the UK through PayPal- cleared my account!"
Negative	 @Chemo @KlngSosa fuck off you greek peice of shit no wander you only just got ur paypal positive
Positive	" @CokePokes I love you phantom tweak man, but I can't seem to be able to buy a license with my paypal :/ http://t.co/TTWGup73ON"
Negative	" @drunken_luv i just talked with her. Other idols have same problems, too. Paypal ID isn't managed by ""Treeplanet"" so we are thinking how to"
Negative	 @GayBabyUnicorn @PayPal banned* dropout but come online
Negative	 @GeekySwede I think ebay and paypal might be part of the conclusion yes. And cosplay is not a space friendly hobby :P
Negative	 @Hioctane308 Sounds like paypal! I think they have a phone number but they're not massively helpful...
Negative	" @KeEquityBank hi, am trying to verify my Visa and bank acc on paypal but I get an error. What could be the issue? kindly assist"
Negative	" @kestrelmakes tbf, i never bother with than on ebay either. :/ i just like the cash part of it. ebay & paypal fees are also annoying."
Positive	 @larky13 @CXAlert  Try this... Customer Service: (866) 540-3229 / Daily 5am - 10pm PT.  Good luck!  (Reply if you need PayPal's phone.)
Negative	 @Lestari_Lee @kiddowoo need to think first..lol..but I wanna buy it..I need to mke a bank card first so tht I can use PayPal
Negative	" @mcupp77 If nothing in Paypal, probably wasn't completed. Sorry, cheers."
Negative	 @Misery_NY @SovietEu soviet I got permanent banned for someone comprising my twitter and PayPal and scamming kids for cred how is tht allowd
Negative	 @MLG_JNays @Snuuupe  thats your teammates fault not ours 10 each please or looks like mommys paypal is locked
Negative	 @NelsonAlves00 @UmzyDesigns my PayPal is limited haha
Negative	 @nickdannheimer Not sure. Haven't used it for ages. Quite a while back I had my gmail/fb/paypal hacked. Had to set up 2 step verification
Negative	 @PayPalUK you have the shittiest customer service known to man.
Positive	" @Real_Ayy Only paypal and MB, sorry!"
Negative	 @Slimbaybee94 wanna know why the donation didn't go through? lol the paypal connected says i need to wait 21 days.
Positive	" @squishette Ya T____T Its like around $29SGD according to paypal, the rate is like 1SGD = 1.29-1.3USD T____T OTL"
Negative	 @Wr3stlerr_ @PayPal if you're serious i feel bad lmfao. cause you should've point out actually
not relevant	" 525.00 Shipping Costs Included Item Interest Brand new ContiSport 3's, brand new. 525.00 shipped/paypaled within the lower 48 US. tire rack has these for $600+shipping. 245/35/19 (stock M3). I can post pics if necessary. Thanks! ContiSport Contact 3 245/35/19"
not relevant	" 71 alf alfa it would be $28.00 by USPS I take paypal PM me with all your info if you want this and I will give you my paypal account info. Nakagtv another fellow is dealing with me on those that asked before you, if he doesnt take them, you are next. Thanks, Rick Some GTV and Duetto parts for sale"
Negative	" A few months on, PayPal is still bugging me to verify my phone number and it's still not working."
not relevant	 A used Slot.It Offset reverse motor pod (CH24) with gears + plus a red motor I believe is out of a MRRC Toyota Celica. $14.00 shipped to any continental USA address PayPal or USPS money order. PM or email if interested. Thanks Slot.It Offset Reverse Motor Pod & red motor (CH24)
Negative	 ACCORDING TO PAYPAL I BOUGHT SOME ALPACASSO PLUSHIES I SPENT å£19 ON PLUSHIES IM THE WORST
Positive	 Actnc101@gmail.com #paypal bud! RT @SpiceJr: @QuietRay @ACTNC101 hahaha we def did son. You wanna meet or send money paypal?
Negative	" Ahoy @paypal, this thing in your password UI is annoying. Pasting would be very useful here. http://t.co/UPiNaFIKnJ"
not relevant	" All Payments Are Done Through #Paypal, Our Website Is Currently Under Construction #theletterrack #gifts #love #unique #vintage"
not relevant	" ALL SOLD. If you buy these as a lot for $100ppd I'll throw in a pack of size small flushable liners. The whole lots includes 9 small gPants and 10 extra liners. Otherwise willing to break up into smaller lots ...$30ppd for 3 ... which includes extra liners. Or MMAO. 9 small gPants - 2 blue, 2 red, 1 grey, 1 white, 1 purple, 1 green, 1 orange -8 purchased brand new 3 years ago and only used for about a month. Elastic sides are very stretchy and in great shape; no stains. Velcro is like new. -1 handed down to me used (red), it's an older style, velcro also in really great shape. Elastic very slightly relaxed but never caused issues for us. 10 extra liners -most are in EUC - plenty stretchy, snaps strong. One or two might have extremely faint staining around gussets - I tried to photo it but I can barely see it. One has very slight fraying at edge near snaps but usability is not impacted. 2 liners came with the older style diaper and are slightly more stretched out from being stuffed. 1 package of small disposable liners -I may have used 1 or two out of this package but it is pretty complete. Some I had pre-stuffed into the gPants and never used so they are perfectly clean and usable. These were basically washed by hand the majority of the time. Want to sell this lot ASAP please. Paypal only. Will ship quickly once payment received. SOLD- small gdiapers in EUC"
Negative	" all you do is criticise, you continually think you know it all and just insult. You seem to think only you know how things are possible and anyone else doesn't have any methods. Why post at all if your just 100% rude. I could say a good few things about you but have more respect for people ! Quote: : There was also some underlying b/s claim on the Amazon thread that he could open 5 bank accounts per day. Best way to withdraw stealth paypal funds"
Negative	 Amazon trumps Ebay all day long for selling used gear. The way their dispute process works is simply a lot more genuine without sellers being capable of normally pulling this sort of a stunt. Just be lucky he didn't ship you back a box of dog shit and Ebay/Paypal would still refund him the cash and you'll be out the lens. You'd best be praying that he isn't attempting to scam you as it's so incredibly easy to do using Ebay. Every now and then UPS/FEDEX/ETC are the ones to blame when they mistreat packages in transit. As much as I hate to say it neither of these companies take any care when handling packages. Either way you should completely avoid Ebay for selling high value items. It's a mine field at the best of times. A grumble about eBay and inexperienced shooters
